id,translatable_id,name,document_url,locale
196,79,2013/752/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32013D0752&qid=1444052578626&from=EN,cs
197,79,2013/752/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32013D0752&qid=1528281710486&from=CS,en
198,80,2012/688/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32012D0688&qid=1444054173402&from=EN,cs
199,80,2012/688/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32012D0688&qid=1528281199255&from=CS,en
200,81,2011/485/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32011D0485&qid=1444055004570&from=EN,cs
201,81,2011/485/EU,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32011D0485&qid=1528280969264&from=CS,en
202,82,CEPT/ECC/DEC/(15)05,https://www.ecodocdb.dk/download/b8797390-4577/ECCDec1505.pdf,cs
203,82,CEPT/ECC/DEC/(15)05,https://www.ecodocdb.dk/download/b8797390-4577/ECCDec1505.pdf,en
204,83,CEPT/ECC/DEC/(15)04,https://www.ecodocdb.dk/download/47f8be60-b651/ECCDEC1504.PDF,cs
205,83,CEPT/ECC/DEC/(15)04,https://www.ecodocdb.dk/download/47f8be60-b651/ECCDEC1504.PDF,en
206,84,CEPT/ECC/DEC/(15)03,https://www.ecodocdb.dk/download/abbe911a-be43/ECCDEC1503.PDF,cs
207,84,CEPT/ECC/DEC/(15)03,https://www.ecodocdb.dk/download/abbe911a-be43/ECCDEC1503.PDF,en
208,85,CEPT/ECC/DEC/(15)02,https://www.ecodocdb.dk/download/421d8b34-ddc7/ECCDEC1502.PDF,cs
209,85,CEPT/ECC/DEC/(15)02,https://www.ecodocdb.dk/download/421d8b34-ddc7/ECCDEC1502.PDF,en
210,86,CEPT/ECC/DEC/(15)01,https://www.ecodocdb.dk/download/837045c3-e8c4/ECCDEC1501.PDF,cs
211,86,CEPT/ECC/DEC/(15)01,https://www.ecodocdb.dk/download/837045c3-e8c4/ECCDEC1501.PDF,en
212,87,CEPT/ECC/DEC/(13)03,https://www.ecodocdb.dk/download/ccf1bd32-f898/ECCDec1303.pdf,cs
213,87,CEPT/ECC/DEC/(13)03,https://www.ecodocdb.dk/download/ccf1bd32-f898/ECCDec1303.pdf,en
214,88,CEPT/ECC/DEC/(13)01,https://www.ecodocdb.dk/download/51c777fb-3800/ECCDEC1301.PDF,cs
